Wall time,Step,Value
1613934234.9893851,31,2.4692163467407227
1613934235.526617,34,2.4303555488586426
1613934240.0664809,60,2.1799981594085693
1613934244.0510283,83,1.8781239986419678
1613934255.527534,147,1.7739455699920654
1613934257.1618383,156,1.9634219408035278
1613934268.6769397,218,1.6551756858825684
1613934269.593686,223,1.3304574489593506
1613934273.4860198,244,1.7975481748580933
1613934276.8361697,262,1.6816014051437378
1613934283.1842318,297,1.2352577447891235
1613934283.552398,299,1.3717104196548462
1613934284.9985428,307,1.2741811275482178
1613934304.218106,410,1.2672408819198608
1613934311.7021818,449,1.3744677305221558
1613934314.2770338,463,0.9995263814926147
1613934325.8366256,525,0.9064095616340637
1613934330.7420979,552,0.9408801198005676
1613934333.6309214,568,0.9935272336006165
1613934334.9048367,575,0.9125655889511108
1613934343.8895078,623,1.0295039415359497
1613934346.3557262,636,0.768468976020813
1613934349.0636559,650,1.0478242635726929
1613934350.9939373,660,0.6136397123336792
1613934358.8557916,703,0.7547551393508911
1613934360.236001,711,0.6051461696624756
1613934368.8251348,760,0.7434607744216919
1613934371.1958847,774,0.7435041666030884
1613934371.5402484,776,0.9134529232978821
1613934374.1758454,791,0.8240917921066284
1613934375.202646,797,0.5931115746498108
1613934380.077804,825,0.579443633556366
1613934399.1112194,934,0.5019589066505432
1613934403.640744,960,0.45571017265319824
1613934403.811473,961,0.6640288829803467
1613934404.8168418,967,0.486337274312973
1613934409.4178238,994,0.540310800075531
1613934411.0119565,1003,0.4636440873146057
1613934419.3881261,1052,0.6605790853500366
1613934419.885709,1055,0.4572522044181824
1613934424.4742098,1082,0.37166446447372437
1613934426.3441246,1093,0.4701326787471771
1613934435.958209,1150,0.4603903293609619
1613934439.2742155,1169,0.43099498748779297
1613934453.115084,1250,0.4081113636493683
1613934463.2056904,1305,0.32595282793045044
1613934463.7480493,1308,0.33037710189819336
1613934466.3136122,1322,0.46752601861953735
1613934467.0034585,1326,0.39526498317718506
1613934475.1504693,1374,0.4424755871295929
1613934476.280041,1381,0.3865414261817932
1613934480.021162,1403,0.3115288317203522
1613934482.0518012,1415,0.32740774750709534
1613934483.8675952,1425,0.400623083114624
1613934489.3585656,1455,0.2694312036037445
1613934493.9865768,1480,0.3942359983921051
1613934500.231918,1512,0.3513965904712677
1613934505.5770502,1541,0.36281368136405945
1613934508.4295437,1557,0.2555530071258545
1613934511.3741155,1573,0.27323758602142334
1613934515.3122368,1594,0.3167930543422699
1613934521.7245233,1629,0.38597097992897034
1613934530.987663,1680,0.34459710121154785
1613934534.2623394,1698,0.3093234896659851
1613934535.9021413,1707,0.26681381464004517
1613934538.443976,1721,0.2957221567630768
1613934538.8171384,1723,0.2987323999404907
1613934539.3702695,1726,0.43323656916618347
1613934547.4857743,1770,0.29449018836021423
1613934555.264097,1815,0.23316062986850739
1613934558.5518887,1833,0.24789634346961975
1613934560.2318373,1842,0.32482796907424927
1613934562.5794597,1855,0.2552160918712616
1613934563.1200206,1858,0.21062734723091125
1613934564.5027716,1866,0.32074180245399475
1613934572.145788,1906,0.29533329606056213
1613934575.4024072,1923,0.2987857460975647
1613934577.7624948,1936,0.29513517022132874
1613934587.640067,1990,0.29291069507598877
1613934594.1267302,2025,0.21877703070640564
1613934601.6016967,2066,0.32766780257225037
1613934605.0177948,2085,0.2964596152305603
1613934621.4229484,2176,0.2742519676685333
1613934623.5830956,2188,0.3234841823577881
1613934625.7637932,2200,0.22016330063343048
1613934629.4314852,2220,0.17276045680046082
1613934630.414449,2225,0.2504490613937378
1613934630.5960171,2226,0.3258135914802551
1613934634.2524765,2246,0.2783054709434509
1613934635.1674554,2251,0.23007526993751526
1613934643.4344592,2296,0.2575734555721283
1613934645.6138961,2308,0.2745092511177063
1613934651.9994407,2343,0.24591407179832458
1613934658.3472383,2378,0.25463324785232544
1613934658.531241,2379,0.2432636022567749
1613934658.9013336,2381,0.24719616770744324
1613934666.7574914,2425,0.24555224180221558
1613934669.8012645,2442,0.252329021692276
1613934670.1463788,2444,0.21613264083862305
1613934671.0589538,2449,0.25691959261894226
1613934675.549559,2474,0.17015881836414337
1613934675.7464213,2475,0.1922198235988617
1613934677.5722036,2485,0.23072722554206848
1613934677.9455523,2487,0.17880159616470337
1613934678.8685553,2492,0.2853097915649414
1613934684.2205625,2521,0.28051453828811646
1613934686.9283175,2536,0.21318753063678741
1613934688.0223258,2542,0.19947107136249542
1613934711.7643156,2674,0.23337575793266296
1613934721.3830323,2729,0.22368785738945007
1613934723.7786252,2743,0.2506102919578552
1613934729.919345,2778,0.2019633948802948
1613934748.6070385,2885,0.2197382152080536
1613934761.990964,2956,0.20771317183971405
1613934770.0240297,3000,0.24865953624248505
1613934774.9012725,3027,0.3188609182834625
1613934775.4316578,3030,0.28845804929733276
1613934785.8215396,3088,0.2525333762168884
1613934797.0320413,3150,0.21115808188915253
1613934803.4003084,3185,0.27056869864463806
1613934809.4113004,3219,0.20209096372127533
1613934811.7865856,3233,0.2679598927497864
1613934812.1363542,3235,0.20492425560951233
1613934812.3141336,3236,0.2198808491230011
1613934822.2279303,3294,0.23193514347076416
1613934834.4787347,3365,0.23063603043556213
1613934839.910962,3397,0.21641090512275696
1613934846.8553703,3438,0.21529917418956757
1613934852.2885225,3469,0.23072178661823273
1613934873.7226615,3589,0.18093444406986237
1613934877.0124528,3607,0.27258768677711487
1613934877.3698077,3609,0.23392653465270996
1613934886.582577,3659,0.2577587068080902
1613934896.8488593,3715,0.199127197265625
1613934899.5903616,3730,0.20963478088378906
1613934909.167197,3782,0.21448175609111786
1613934912.9557106,3803,0.26491034030914307
1613934913.8731554,3808,0.2783697545528412
1613934914.2349584,3810,0.2491854876279831
1613934921.9955707,3853,0.25064927339553833
1613934933.4820805,3917,0.20644614100456238
1613934938.5238945,3945,0.15967585146427155
1613934943.5581777,3973,0.1881522536277771
1613934952.930028,4025,0.19716288149356842
1613934963.8891006,4087,0.21874427795410156
1613934965.8418272,4098,0.34839972853660583
1613934978.7211456,4171,0.20907136797904968
1613934981.2894287,4185,0.17081746459007263
1613934982.3572385,4191,0.25708940625190735
1613934986.9122639,4216,0.16173207759857178
1613934987.7219124,4221,0.24708512425422668
1613934992.3879626,4252,0.23242579400539398
1613934998.571666,4293,0.2774350345134735
1613935000.5233462,4306,0.2560848891735077
1613935000.8080235,4308,0.24214188754558563
1613935012.810411,4389,0.2020997703075409
1613935018.1159525,4422,0.21268892288208008
1613935028.0442555,4481,0.30371934175491333
1613935030.8318758,4498,0.19652990996837616
1613935034.2844782,4519,0.20996327698230743
1613935051.3883097,4617,0.22160519659519196
1613935057.549156,4653,0.22191950678825378
1613935058.2508104,4657,0.19037267565727234
1613935059.7418056,4665,0.21265144646167755
1613935073.2016993,4739,0.1694001704454422
1613935079.9161139,4777,0.1597921997308731
1613935081.8791583,4789,0.19901122152805328
1613935082.2003841,4791,0.156317800283432
1613935088.4359567,4829,0.23429438471794128
1613935090.4349027,4841,0.19532059133052826
1613935097.5356681,4883,0.24105945229530334
1613935108.8728065,4951,0.22583188116550446
1613935110.3757665,4960,0.2188844382762909
1613935110.8588376,4963,0.23018288612365723
1613935123.3946898,5039,0.2159191071987152
1613935123.7112284,5041,0.1861792951822281
1613935132.7418237,5095,0.2129615843296051
1613935137.5245693,5123,0.26629552245140076
1613935148.9492002,5189,0.31497251987457275
1613935155.678922,5228,0.19781456887722015
1613935171.2301953,5318,0.18467077612876892
1613935174.113929,5334,0.21678021550178528
1613935176.6457531,5348,0.1687176376581192
1613935187.5616407,5409,0.2651151716709137
1613935191.540762,5431,0.1860714852809906
1613935204.0914474,5504,0.26069384813308716
1613935204.422776,5506,0.2206759750843048
1613935209.8767803,5538,0.19477586448192596
1613935216.3554728,5576,0.1762472242116928
1613935228.8185165,5649,0.24075523018836975
1613935229.4751713,5653,0.21007366478443146
1613935232.0687509,5668,0.18877683579921722
1613935239.5485816,5709,0.17785906791687012
1613935240.1123197,5712,0.23424243927001953
1613935255.4344726,5797,0.17873330414295197
1613935258.36068,5814,0.2414064258337021
1613935258.8619466,5817,0.26093944907188416
1613935264.6805122,5851,0.29390695691108704
1613935265.0329902,5853,0.20306497812271118
1613935266.2079673,5860,0.1602892130613327
1613935272.3621259,5896,0.31326058506965637
1613935275.9803715,5917,0.2651366889476776
1613935280.0966206,5941,0.2314085066318512
1613935281.9859715,5952,0.20920749008655548
1613935286.5724657,5979,0.22474148869514465
1613935290.036792,5999,0.28561264276504517
1613935290.9091573,6004,0.19897831976413727
1613935309.891382,6110,0.1947936713695526
1613935311.7814276,6120,0.1518644243478775
1613935321.319475,6170,0.20572882890701294
1613935324.8440785,6189,0.2135438472032547
1613935327.2146437,6202,0.18888093531131744
1613935328.319372,6208,0.254623144865036
1613935330.6674156,6221,0.16959679126739502
1613935341.3223364,6278,0.18564428389072418
1613935345.5938008,6301,0.18627038598060608
1613935346.49947,6306,0.17592082917690277
1613935350.8153539,6330,0.19047608971595764
1613935354.7700078,6352,0.26531022787094116
1613935357.1267722,6365,0.178761824965477
1613935361.508076,6389,0.1974695473909378
1613935378.7814293,6485,0.21704712510108948
1613935383.1034286,6509,0.22060413658618927
1613935392.7834644,6563,0.23158733546733856
