Wall time,Step,Value
1611164268.2061005,6313,0.5146631598472595
1611164305.9419003,6377,0.607218861579895
1611164391.4153025,6521,0.4379526674747467
1611164423.4345253,6575,0.4060833156108856
1611164440.6638553,6604,0.5245989561080933
1611164495.813486,6697,0.41932445764541626
1611164497.5956454,6700,0.523260235786438
1611164504.6447406,6712,0.3966866433620453
1611164589.7039006,6855,0.44043320417404175
1611164656.3209274,6967,0.3705234229564667
1611164743.7293215,7115,0.423331618309021
1611164767.9945006,7156,0.458793044090271
1611164860.6570237,7312,0.3975135087966919
1611164903.0365448,7383,0.5256346464157104
1611164949.3573625,7461,0.4639643430709839
1611164951.1321924,7464,0.605527400970459
1611164960.0352805,7479,0.4245837926864624
1611164979.6397388,7512,0.3891364336013794
1611165087.612309,7694,0.5424707531929016
1611165144.0055313,7789,0.6029760837554932
1611165149.9779391,7799,0.4130663275718689
1611165170.856953,7834,0.49031656980514526
1611165264.9747643,7992,0.506511390209198
1611165309.429292,8067,0.5332772731781006
1611165376.8911943,8181,0.4923878312110901
1611165401.1860375,8222,0.5066824555397034
1611165485.228406,8364,0.5318304300308228
1611165488.1942406,8369,0.5216127634048462
1611165493.5218964,8378,0.3834986984729767
1611165548.09284,8471,0.6230169534683228
1611165564.722406,8499,0.5023588538169861
1611165570.6288,8509,0.43060266971588135
1611165625.5855002,8602,0.4779503345489502
1611165645.580175,8636,0.6026888489723206
1611165789.1702383,8879,0.4996565580368042
1611165806.3985546,8908,0.37592703104019165
1611165818.8189025,8929,0.49544990062713623
1611165822.949763,8936,0.6687492728233337
1611165857.2271457,8994,0.4913378357887268
1611166015.18603,9261,0.3997200131416321
1611166048.3354537,9317,0.6092251539230347
1611166067.2618558,9349,0.441771924495697
1611166118.718782,9436,0.4855928421020508
1611166138.2491126,9469,0.5565054416656494
1611166189.0551257,9555,0.6456242799758911
1611166196.7562933,9568,0.6240268349647522
1611166249.7528906,9658,0.5442652702331543
1611166263.376214,9681,0.5025708079338074
1611166274.0103445,9699,0.6727885007858276
1611166359.8322842,9844,0.4378080666065216
1611166397.476838,9908,0.46513527631759644
1611166501.7882397,10085,0.5065735578536987
1611166615.4295378,10277,0.4853774905204773
1611166619.5714931,10284,0.43479838967323303
1611166688.0883114,10400,0.5682361721992493
1611166735.765367,10480,0.5201357007026672
1611166761.3597732,10523,0.48981642723083496
1611166811.9414678,10608,0.5139525532722473
1611166830.403796,10639,0.5423115491867065
1611166839.8957849,10655,0.5274338722229004
1611166873.8375866,10712,0.4351887106895447
1611166901.2592719,10758,0.5656037330627441
1611166901.851289,10759,0.43087923526763916
1611166914.8126082,10781,0.42830073833465576
1611166950.599839,10842,0.6595101952552795
1611166955.9226286,10851,0.5307526588439941
1611166986.7732182,10903,0.4607440233230591
1611166988.5428529,10906,0.44846487045288086
1611167011.0150914,10944,0.6485016942024231
1611167024.5880613,10967,0.5286745429039001
1611167029.3520446,10975,0.4837720990180969
1611167056.5741138,11021,0.5687277317047119
1611167105.1547153,11103,0.5381770730018616
1611167116.3893955,11122,0.41737979650497437
1611167161.7835999,11199,0.5600954294204712
1611167291.8990183,11420,0.5879819393157959
1611167322.811722,11473,0.4486379325389862
1611167334.473953,11493,0.4545687437057495
1611167352.526973,11524,0.4324934780597687
1611167357.782912,11533,0.45690417289733887
1611167377.6161792,11567,0.4695253372192383
1611167426.4407244,11649,0.5309321880340576
1611167448.3490374,11686,0.3786355257034302
1611167492.1316006,11760,0.6011330485343933
1611167559.5373976,11874,0.5538344383239746
1611167616.7080097,11970,0.4792446494102478
1611167619.6651673,11975,0.5708338618278503
