Wall time,Step,Value
1610994753.1133735,43,1.3319278955459595
1610994754.8583922,46,1.2742915153503418
1610994783.5233543,95,1.0764893293380737
1610994826.470912,168,1.205253005027771
1610994862.89509,230,1.117720365524292
1610994865.8356214,235,1.074471116065979
1610994878.1894643,256,1.006357192993164
1610994888.7842524,274,1.0565223693847656
1610994909.4064808,309,1.053860068321228
1610994910.5887892,311,1.041439175605774
1610994915.3071716,319,1.1714372634887695
1610995007.2277036,475,1.0633130073547363
1610995043.5412061,537,1.1545515060424805
1610995068.9843643,580,1.0748076438903809
1610995073.0847075,587,1.1568734645843506
1610995101.5019474,635,1.0656343698501587
1610995109.2330072,648,0.9577504396438599
1610995148.8358328,715,1.0056072473526
1610995153.6104074,723,1.115288496017456
1610995200.9108083,803,1.0472471714019775
1610995204.4608767,809,1.008157730102539
1610995221.0415485,837,1.087314486503601
1610995300.6966376,972,1.0957924127578735
1610995326.0358737,1015,1.0397675037384033
1610995356.6117232,1067,1.1032692193984985
1610995379.1280453,1105,1.0252097845077515
1610995423.960564,1181,1.0880602598190308
1610995472.1052716,1262,1.023707628250122
1610995504.388627,1317,0.8896538019180298
1610995506.1330502,1320,1.097062349319458
1610995514.2718058,1334,1.2324943542480469
1610995516.617221,1338,1.0774073600769043
1610995545.0575387,1386,1.0857020616531372
1610995549.2264435,1393,1.0187782049179077
1610995575.1644957,1437,1.080885410308838
1610995592.8765957,1467,1.13264799118042
1610995643.6734748,1553,1.0997366905212402
1610995662.7025673,1585,1.0391489267349243
1610995726.1212504,1692,1.049059271812439
1610995751.5665882,1735,1.103841781616211
1610995753.331132,1738,1.1623361110687256
1610995816.286104,1845,1.0331451892852783
1610995835.5485666,1878,1.1208441257476807
1610995859.1382585,1918,1.0205297470092773
1610995876.7810137,1948,0.9621518850326538
1610995929.5446534,2037,0.9998804330825806
1610995964.9959545,2097,0.9850969314575195
1610996025.7948372,2200,1.0666502714157104
1610996063.0207093,2263,1.0272701978683472
1610996089.5136585,2308,1.0800197124481201
1610996138.0983276,2390,1.0161006450653076
1610996165.9283473,2437,1.0249333381652832
1610996175.9631674,2454,0.9531583786010742
1610996177.1563253,2456,0.990422785282135
1610996180.1392832,2461,1.0032516717910767
1610996194.9342012,2486,1.1128180027008057
1610996195.525059,2487,0.9955177307128906
1610996202.5850835,2499,1.0848714113235474
1610996205.5683584,2504,1.0271830558776855
1610996222.6789374,2533,1.0008914470672607
1610996313.0747044,2686,1.038664698600769
1610996345.6985135,2741,1.0080803632736206
1610996479.3068974,2968,1.0802689790725708
1610996521.207917,3039,1.0779719352722168
1610996522.9913,3042,1.1376420259475708
1610996594.1626005,3162,0.955880880355835
1610996634.9382708,3231,0.9872015714645386
1610996644.4062085,3247,1.0615804195404053
1610996644.9875536,3248,0.9384109973907471
1610996679.1091137,3306,1.0241851806640625
1610996782.68607,3481,0.9412144422531128
1610996864.3179047,3619,1.0959908962249756
1610996865.4984577,3621,1.082366943359375
1610996895.0617344,3671,0.872501015663147
1610996936.9918199,3742,1.0821640491485596
1610996980.0851376,3815,1.0887095928192139
1610996984.2113452,3822,1.092344045639038
1610997047.193417,3929,0.8611313700675964
1610997063.674458,3957,1.141822099685669
1610997110.9382253,4037,1.11543607711792
1610997147.57656,4099,1.0616707801818848
1610997205.3479078,4197,1.0828680992126465
